territorio,anno,Ambiente,Abitazione,Evoluzione digitale,Sicurezza e protezione,Violenza contro donne e bambini,Salute bambini,Istruzione bambini,Povertà educativa,Capitale umano,Capitale economico,Salute donne,Educazione donne,Opportunità economiche,Conciliazione vita-lavoro,Partecipazione politica
Sud,2018,71.6,87.3,50.0,52.6,52.1,40.8,54.2,17.6,61.5,41.4,49.0,45.9,19.6,46.5,41.5
Sud,2019,72.9,90.2,58.5,59.7,54.1,40.3,54.0,18.5,65.0,41.9,49.7,46.1,19.1,48.8,43.6
Sud,2020,73.7,88.2,59.0,67.2,56.9,37.0,54.0,15.1,58.3,40.2,53.6,45.8,18.6,48.4,43.6
Sud,2021,73.7,89.0,61.5,67.6,55.8,37.0,49.6,19.7,41.9,42.3,53.0,52.6,19.1,47.7,45.1
Sud,2022,73.7,89.0,61.5,67.6,55.8,37.0,50.2,19.7,41.9,42.3,53.0,52.6,19.1,47.7,34.2
Nord-est,2018,44.3,97.0,72.3,53.6,74.6,42.8,70.3,51.0,83.2,65.4,56.0,74.1,31.6,74.6,53.4
Nord-est,2019,45.6,96.5,76.0,56.7,78.4,43.5,69.3,53.4,83.3,66.0,56.7,72.1,32.1,75.0,53.4
Nord-est,2020,48.2,96.7,76.7,68.8,78.4,41.4,69.3,48.7,77.5,62.4,62.6,65.9,30.2,74.0,55.8
Nord-est,2021,48.2,96.4,77.8,67.0,74.7,41.4,65.3,50.6,54.6,66.0,57.1,76.1,32.7,74.6,55.8
Nord-est,2022,48.2,96.4,77.8,67.0,74.7,41.4,65.5,50.6,54.6,66.0,57.1,76.1,32.7,74.6,69.9
Centro,2018,57.3,91.8,71.2,54.5,66.9,53.9,67.1,46.1,82.7,59.5,55.0,65.1,36.7,74.9,57.0
Centro,2019,59.3,92.9,73.7,57.6,72.1,54.7,66.3,45.6,81.4,60.5,53.1,68.2,37.3,77.0,60.0
Centro,2020,62.9,92.5,74.3,67.4,71.3,54.6,66.3,40.5,77.6,56.5,59.3,66.4,35.7,77.0,64.6
Centro,2021,62.9,92.3,76.0,67.2,69.8,54.6,62.2,45.1,56.2,59.4,56.5,71.6,36.7,78.7,64.6
Centro,2022,62.9,92.3,76.0,67.2,69.8,54.6,62.4,45.1,56.2,59.4,56.5,71.6,36.7,78.7,54.9
Nord-ovest,2018,48.9,96.5,74.0,54.0,73.0,45.5,70.0,38.3,80.3,67.4,53.0,69.3,30.9,71.4,45.5
Nord-ovest,2019,52.7,96.2,76.8,55.8,74.0,43.7,69.0,43.1,79.6,67.8,54.0,67.7,31.8,73.9,42.9
Nord-ovest,2020,54.6,95.5,76.7,66.1,70.5,39.5,69.0,37.5,76.4,64.3,55.6,61.7,32.9,72.3,41.3
Nord-ovest,2021,54.6,95.3,78.7,64.3,72.8,39.5,63.6,39.8,52.3,68.3,56.4,69.0,34.1,69.5,41.3
Nord-ovest,2022,54.6,95.3,78.7,64.3,72.8,39.5,64.6,39.8,52.3,68.3,56.4,69.0,34.1,69.5,38.1
Isole,2018,76.1,83.8,52.3,57.3,47.1,54.9,49.6,12.7,60.2,40.7,49.1,47.2,24.1,46.5,48.3
Isole,2019,80.0,85.7,56.4,60.8,45.8,56.7,49.3,15.2,62.2,41.3,48.3,45.1,25.8,48.6,51.6
Isole,2020,81.7,86.2,56.7,64.6,48.3,54.6,49.3,16.7,56.8,39.7,53.1,44.0,24.3,51.4,51.6
Isole,2021,81.7,84.2,59.6,67.5,45.4,54.6,45.1,17.5,41.0,41.3,52.4,50.3,23.3,49.1,51.6
Isole,2022,81.7,84.2,59.6,67.5,45.4,54.6,45.2,17.5,41.0,41.3,52.4,50.3,23.3,49.1,48.5
