territorio,anno,Contesto|Ambiente,Contesto|Ambiente,Contesto|Abitazione,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Salute,Bambini|Istruzione,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale umano,Bambini|Capitale economico,Bambini|Capitale economico,Donne|Salute,Donne|Salute,Donne|Educazione,Donne|Educazione,Donne|Opportunità economiche,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,Donne|Partecipazione politica,area,codice_istat
Abruzzo,2018,69.5,69.5,87.3,87.3,60.1,60.1,61.2,61.2,68.0,68.0,45.4,45.4,65.3,65.3,37.6,37.6,71.4,71.4,47.8,47.8,49.4,49.4,50.5,50.5,24.8,24.8,63.6,63.6,17.7,17.7,Sud,13
Abruzzo,2019,73.6,73.6,88.0,88.0,69.8,69.8,61.4,61.4,58.2,58.2,43.8,43.8,64.3,64.3,35.0,35.0,75.9,75.9,48.2,48.2,50.9,50.9,60.3,60.3,28.5,28.5,68.1,68.1,27.9,27.9,Sud,13
Abruzzo,2020,74.8,74.8,85.1,85.1,67.9,67.9,79.4,79.4,73.8,73.8,39.4,39.4,64.3,64.3,32.8,32.8,70.8,70.8,45.7,45.7,59.5,59.5,58.8,58.8,27.6,27.6,69.7,69.7,27.9,27.9,Sud,13
Abruzzo,2021,74.8,74.8,85.8,85.8,70.2,70.2,77.2,77.2,56.3,56.3,39.4,39.4,60.2,60.2,37.2,37.2,51.0,51.0,48.5,48.5,55.9,55.9,67.7,67.7,28.5,28.5,64.6,64.6,27.9,27.9,Sud,13
Abruzzo,2022,74.8,74.8,85.8,85.8,70.2,70.2,77.2,77.2,56.3,56.3,39.4,39.4,60.6,60.6,37.2,37.2,51.0,51.0,48.5,48.5,55.9,55.9,67.7,67.7,28.5,28.5,64.6,64.6,37.5,37.5,Sud,13
Basilicata,2018,91.9,91.9,91.4,91.4,56.4,56.4,54.8,54.8,59.8,59.8,23.5,23.5,57.2,57.2,34.0,34.0,69.3,69.3,44.5,44.5,48.1,48.1,57.3,57.3,25.6,25.6,53.4,53.4,12.7,12.7,Sud,17
Basilicata,2019,91.6,91.6,92.5,92.5,58.5,58.5,83.2,83.2,56.8,56.8,16.5,16.5,58.5,58.5,33.2,33.2,68.2,68.2,44.3,44.3,44.3,44.3,57.3,57.3,23.0,23.0,61.9,61.9,4.38,4.38,Sud,17
Basilicata,2020,93.1,93.1,92.9,92.9,55.7,55.7,73.7,73.7,51.4,51.4,15.3,15.3,58.5,58.5,24.9,24.9,64.0,64.0,41.6,41.6,52.9,52.9,51.6,51.6,22.8,22.8,58.9,58.9,4.38,4.38,Sud,17
Basilicata,2021,93.1,93.1,92.5,92.5,60.7,60.7,74.6,74.6,62.4,62.4,15.3,15.3,53.6,53.6,35.2,35.2,46.4,46.4,45.4,45.4,48.9,48.9,67.9,67.9,25.2,25.2,59.3,59.3,4.38,4.38,Sud,17
Basilicata,2022,93.1,93.1,92.5,92.5,60.7,60.7,74.6,74.6,62.4,62.4,15.3,15.3,55.5,55.5,35.2,35.2,46.4,46.4,45.4,45.4,48.9,48.9,67.9,67.9,25.2,25.2,59.3,59.3,2.85,2.85,Sud,17
Calabria,2018,79.6,79.6,77.1,77.1,46.4,46.4,40.3,40.3,41.1,41.1,30.7,30.7,46.9,46.9,12.9,12.9,58.9,58.9,39.0,39.0,45.8,45.8,40.0,40.0,21.8,21.8,41.0,41.0,39.1,39.1,Sud,18
