territorio,anno,Contesto,Bambini,Donne,Totale,area,codice_istat
Abruzzo,2018,68.6,52.0,37.2,51.0,Sud,13
Abruzzo,2019,69.4,51.4,43.7,53.8,Sud,13
Abruzzo,2020,76.0,48.5,44.7,54.8,Sud,13
Abruzzo,2021,72.2,46.5,45.0,53.3,Sud,13
Abruzzo,2022,72.2,46.6,47.7,54.3,Sud,13
Basilicata,2018,68.9,42.6,34.1,46.4,Sud,17
Basilicata,2019,74.8,39.5,27.4,43.3,Sud,17
Basilicata,2020,71.1,35.9,27.2,41.1,Sud,17
Basilicata,2021,75.4,36.0,28.8,42.8,Sud,17
Basilicata,2022,75.4,36.3,26.5,41.7,Sud,17
Calabria,2018,54.3,33.6,36.8,40.6,Sud,18
Calabria,2019,60.5,35.7,36.4,42.8,Sud,18
Calabria,2020,67.0,35.2,39.0,45.1,Sud,18
Calabria,2021,68.9,35.6,42.3,47.0,Sud,18
Calabria,2022,68.9,35.7,41.2,46.6,Sud,18
Campania,2018,60.2,37.9,40.1,45.0,Sud,15
Campania,2019,64.2,39.4,41.5,47.2,Sud,15
Campania,2020,63.8,34.7,38.9,44.2,Sud,15
Campania,2021,63.0,34.8,40.2,44.5,Sud,15
Campania,2022,63.0,35.1,38.3,43.9,Sud,15
Emilia-Romagna,2018,60.9,63.2,59.3,61.1,Nord-est,8
Emilia-Romagna,2019,60.8,63.5,59.8,61.4,Nord-est,8
Emilia-Romagna,2020,68.8,61.7,58.8,63.0,Nord-est,8
Emilia-Romagna,2021,65.9,57.6,59.3,60.8,Nord-est,8
Emilia-Romagna,2022,65.9,57.6,62.4,61.9,Nord-est,8
Friuli-Venezia Giulia,2018,69.8,61.2,54.9,61.7,Nord-est,6
Friuli-Venezia Giulia,2019,76.3,61.6,54.4,63.5,Nord-est,6
Friuli-Venezia Giulia,2020,77.5,60.2,54.5,63.4,Nord-est,6
Friuli-Venezia Giulia,2021,78.8,55.9,54.2,62.0,Nord-est,6
Friuli-Venezia Giulia,2022,78.8,56.0,58.7,63.7,Nord-est,6
Lazio,2018,70.4,60.8,57.5,62.6,Centro,12
Lazio,2019,71.6,60.0,58.0,62.9,Centro,12
Lazio,2020,73.7,59.9,57.5,63.3,Centro,12
Lazio,2021,70.7,57.7,58.3,61.9,Centro,12
Lazio,2022,70.7,57.7,54.8,60.7,Centro,12
Liguria,2018,67.5,59.3,47.8,57.6,Nord-ovest,7
Liguria,2019,70.1,61.4,49.0,59.5,Nord-ovest,7
Liguria,2020,69.5,58.5,49.8,58.7,Nord-ovest,7
Liguria,2021,68.4,52.3,50.3,56.5,Nord-ovest,7
Liguria,2022,68.4,52.2,51.0,56.7,Nord-ovest,7
Lombardia,2018,67.1,60.4,50.1,58.8,Nord-ovest,3
Lombardia,2019,69.5,60.8,51.1,60.0,Nord-ovest,3
Lombardia,2020,73.2,56.6,51.0,59.6,Nord-ovest,3
Lombardia,2021,71.1,53.1,52.6,58.3,Nord-ovest,3
Lombardia,2022,71.1,53.4,52.3,58.3,Nord-ovest,3
Marche,2018,70.6,55.2,52.3,58.8,Centro,11
Marche,2019,73.0,55.5,54.0,60.3,Centro,11
Marche,2020,71.4,52.5,57.4,59.9,Centro,11
Marche,2021,76.3,49.8,56.8,60.0,Centro,11
Marche,2022,76.3,49.8,53.7,58.9,Centro,11
Molise,2018,74.5,39.5,52.0,53.5,Sud,14
Molise,2019,72.8,39.4,52.0,53.1,Sud,14
Molise,2020,74.6,37.4,53.7,53.1,Sud,14
Molise,2021,75.3,35.8,54.8,52.8,Sud,14
Molise,2022,75.3,35.8,50.7,51.5,Sud,14
Piemonte,2018,65.6,51.8,54.5,57.0,Nord-ovest,1
Piemonte,2019,69.4,52.9,51.9,57.5,Nord-ovest,1
Piemonte,2020,67.7,49.7,51.9,55.9,Nord-ovest,1
Piemonte,2021,69.6,46.5,53.1,55.6,Nord-ovest,1
Piemonte,2022,69.6,46.7,50.4,54.7,Nord-ovest,1
Provincia Autonoma di Bolzano/Bozen,2018,70.0,71.2,59.6,66.7,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2019,78.1,70.4,60.7,69.4,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2020,74.6,67.4,55.1,65.2,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2021,74.6,61.6,54.5,63.0,Nord-est,21
Provincia Autonoma di Bolzano/Bozen,2022,74.6,61.8,55.7,63.5,Nord-est,21
Provincia Autonoma di Trento,2018,72.5,68.4,63.1,67.9,Nord-est,22
Provincia Autonoma di Trento,2019,72.3,69.5,62.0,67.8,Nord-est,22
Provincia Autonoma di Trento,2020,80.0,64.8,62.3,68.6,Nord-est,22
Provincia Autonoma di Trento,2021,80.4,59.6,63.5,67.3,Nord-est,22
Provincia Autonoma di Trento,2022,80.4,59.7,64.9,67.8,Nord-est,22
Puglia,2018,61.3,39.5,39.4,45.7,Sud,16
Puglia,2019,67.0,40.2,39.0,47.2,Sud,16
Puglia,2020,70.3,36.4,40.5,47.0,Sud,16
Puglia,2021,68.9,34.5,41.9,46.4,Sud,16
Puglia,2022,68.9,34.4,37.2,44.5,Sud,16
Sardegna,2018,67.6,47.5,44.4,52.2,Isole,20
Sardegna,2019,71.4,52.4,46.4,55.8,Isole,20
Sardegna,2020,71.4,51.6,48.9,56.4,Isole,20
Sardegna,2021,73.0,47.3,48.9,55.3,Isole,20
Sardegna,2022,73.0,47.6,50.3,55.9,Isole,20
Sicilia,2018,59.7,34.9,43.5,44.9,Isole,19
Sicilia,2019,61.5,35.3,43.9,45.7,Isole,19
Sicilia,2020,64.2,34.5,43.8,45.9,Isole,19
Sicilia,2021,60.3,33.0,44.3,44.5,Isole,19
Sicilia,2022,60.3,32.9,43.4,44.2,Isole,19
Toscana,2018,60.9,62.7,58.3,60.6,Centro,9
Toscana,2019,65.3,63.3,58.1,62.2,Centro,9
Toscana,2020,70.4,57.1,59.4,62.0,Centro,9
Toscana,2021,70.5,54.2,61.3,61.6,Centro,9
Toscana,2022,70.5,54.2,62.1,61.9,Centro,9
Umbria,2018,60.1,58.6,56.1,58.3,Centro,10
Umbria,2019,67.6,58.2,61.4,62.3,Centro,10
Umbria,2020,75.6,52.1,62.5,62.7,Centro,10
Umbria,2021,76.6,49.4,62.4,61.8,Centro,10
Umbria,2022,76.6,49.8,61.4,61.6,Centro,10
Valle d'Aosta/Vallée d'Aoste,2018,73.7,58.3,66.1,65.8,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2019,78.4,57.5,66.3,66.9,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2020,77.5,57.4,63.4,65.6,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2021,67.0,52.8,64.6,61.1,Nord-ovest,2
Valle d'Aosta/Vallée d'Aoste,2022,67.0,53.5,64.6,61.4,Nord-ovest,2
Veneto,2018,68.4,56.2,52.0,58.5,Nord-est,5
Veneto,2019,69.6,57.4,51.6,59.1,Nord-est,5
Veneto,2020,71.3,52.6,53.0,58.4,Nord-est,5
Veneto,2021,66.9,50.1,56.6,57.4,Nord-est,5
Veneto,2022,66.9,50.1,58.1,58.0,Nord-est,5
