territorio,anno,area,codice_istat,Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,Contesto|Ambiente|1,Contesto|Ambiente|2,Contesto|Abitazione|3,Contesto|Abitazione|4,Contesto|Evoluzione digitale|5,Contesto|Evoluzione digitale|6,Contesto|Sicurezza e protezione|7,Contesto|Sicurezza e protezione|8,Contesto|Violenza contro donne e bambini|9,Contesto|Violenza contro donne e bambini|10,Bambini|Salute|11,Bambini|Salute|12,Bambini|Istruzione|13,Bambini|Istruzione|14,Bambini|Povertà educativa|15,Bambini|Povertà educativa|16,Bambini|Capitale umano|17,Bambini|Capitale umano|18,Bambini|Capitale economico|19,Bambini|Capitale economico|20,Donne|Salute|21,Donne|Salute|22,Donne|Educazione|23,Donne|Educazione|24,Donne|Opportunità economiche|25,Donne|Opportunità economiche|26,Donne|Conciliazione vita-lavoro|27,Donne|Conciliazione vita-lavoro|28,Donne|Partecipazione politica|29,Donne|Partecipazione politica|30,Indicatore 1,Indicatore 2,Indicatore 3,Indicatore 4,Indicatore 5,Indicatore 6,Indicatore 7,Indicatore 8,Indicatore 9,Indicatore 10,Indicatore 11,Indicatore 12,Indicatore 13,Indicatore 14,Indicatore 15,Indicatore 16,Indicatore 17,Indicatore 18,Indicatore 19,Indicatore 20,Indicatore 21,Indicatore 22,Indicatore 23,Indicatore 24,Indicatore 25,Indicatore 26,Indicatore 27,Indicatore 28,Indicatore 29,Indicatore 30
Abruzzo,2018,Sud,13,51.0,68.7,52.0,37.0,69.5,87.3,64.9,61.2,63.4,45.4,65.3,37.6,71.4,47.8,49.4,50.5,24.8,63.6,17.7,75.7,63.2,90.9,83.8,62.3,67.5,63.0,59.3,68.8,58.1,28.3,62.4,68.3,62.2,64.9,10.3,89.1,53.8,68.9,26.8,66.0,32.7,58.2,42.9,12.6,37.1,46.5,80.6,28.1,7.37,13.4,463.0,9.1,16.2,62.3,,0.5,9.1,0.197,28.0,29.9,3.01,31.7,37.8,8.4,8.9,66.7,27.9,31.1,25100.0,66.0,55.7,29.2,6.8,24.6,31.1,23.0,80.6,23.8,6.5
Abruzzo,2019,Sud,13,53.6,66.9,51.4,44.8,73.6,88.0,69.8,61.4,48.5,43.8,64.3,35.0,75.9,48.2,50.9,60.3,28.5,68.1,30.3,83.9,63.2,88.1,88.0,67.2,72.4,63.0,59.8,35.3,61.6,25.2,62.4,67.0,61.6,58.6,11.3,90.4,61.3,68.9,27.5,66.3,35.4,72.7,47.9,19.9,37.1,48.3,87.9,32.9,27.8,11.9,463.0,11.9,12.0,67.2,21.5,0.5,9.0,0.452,,31.2,3.01,33.0,38.4,9.9,9.5,67.7,31.8,31.1,25400.0,66.3,56.5,36.5,7.6,22.5,31.1,23.9,87.9,,16.1
Abruzzo,2020,Sud,13,55.3,75.2,48.2,46.6,74.8,85.1,67.9,79.4,70.3,39.4,62.2,32.8,70.8,45.7,59.5,58.8,27.6,69.7,32.7,83.9,65.7,87.1,83.1,63.4,72.4,83.4,75.4,75.5,65.1,27.8,51.1,65.5,59.0,57.8,7.81,90.7,50.9,69.1,22.3,66.9,52.1,73.5,44.2,18.8,36.4,51.4,88.1,37.6,27.8,,454.0,12.9,16.9,63.4,,0.2,5.5,0.152,23.3,30.1,2.8,,,10.1,7.4,67.9,26.4,30.9,23500.0,66.9,61.4,36.9,7.0,22.8,30.9,25.4,88.1,,16.1
Abruzzo,2021,Sud,13,53.8,70.2,46.5,47.6,74.8,85.8,70.2,77.2,49.2,39.4,60.2,37.2,51.0,48.5,55.9,67.7,28.5,64.6,35.1,83.9,65.7,89.7,82.0,68.1,72.4,83.4,70.9,53.7,44.7,27.8,51.1,64.0,56.4,66.6,7.81,91.2,10.8,69.1,27.8,66.8,45.0,74.9,60.5,20.6,36.4,51.4,77.8,42.4,27.8,,,10.3,18.0,68.1,,,6.5,0.306,37.0,,,36.0,43.6,8.0,,68.3,5.6,30.9,25500.0,66.8,59.3,37.6,9.6,22.3,30.9,,77.8,,16.1
Abruzzo,2022,Sud,13,54.1,70.2,46.6,48.3,74.8,85.8,70.2,77.2,49.2,39.4,60.6,37.2,51.0,48.5,55.9,67.7,28.5,64.6,37.5,83.9,65.7,89.7,82.0,68.1,72.4,83.4,70.9,53.7,44.7,27.8,51.1,64.4,56.9,66.6,7.81,91.2,10.8,69.1,27.8,66.8,45.0,74.9,60.5,20.6,36.4,51.4,77.8,47.2,27.8,,,,,,,,,,,,,35.6,43.1,,,,,,,,,,,,,,,30.8,
Basilicata,2018,Sud,17,41.9,68.2,42.6,25.4,91.9,91.4,58.3,54.8,54.8,23.5,57.2,34.0,69.3,44.5,48.1,57.3,25.6,53.4,2.79,91.8,92.1,95.4,87.4,58.7,58.0,32.4,77.2,64.0,45.6,30.4,16.6,61.8,52.6,54.1,13.9,82.0,56.5,68.3,20.6,64.5,31.7,60.4,54.2,12.0,39.1,33.8,73.1,5.02,0.554,10.4,356.0,4.6,12.6,58.7,,1.1,5.1,0.231,36.3,29.0,2.16,38.2,47.4,11.0,11.1,61.4,29.3,31.7,23000.0,64.5,55.4,30.3,8.6,24.7,31.7,16.7,73.1,15.4,3.3
Basilicata,2019,Sud,17,42.8,73.5,39.5,27.0,91.6,92.5,58.5,83.2,52.0,16.5,58.5,33.2,68.2,44.3,44.3,57.3,23.0,61.9,4.0,90.9,92.4,95.1,89.9,57.1,59.9,83.4,83.0,64.0,40.0,22.3,10.7,62.1,54.8,51.1,15.2,83.8,52.6,68.5,20.2,66.1,22.5,69.7,44.8,7.59,38.4,41.5,82.3,4.25,3.75,10.6,355.0,4.9,10.1,57.1,17.8,0.2,3.8,,40.1,32.4,2.05,37.9,45.2,11.7,11.9,62.7,27.3,31.5,22800.0,66.1,52.7,35.0,7.1,26.0,31.5,20.5,82.3,,4.8
Basilicata,2020,Sud,17,40.4,69.8,35.6,26.6,93.1,92.4,55.7,73.7,47.0,15.3,56.0,24.9,64.0,41.6,52.9,51.6,22.8,58.9,3.62,90.9,95.4,94.2,90.7,51.4,59.9,63.0,84.4,64.0,30.1,19.4,11.2,60.5,51.6,43.2,6.66,84.6,43.4,68.7,14.6,66.7,39.2,60.4,42.9,7.93,37.8,43.5,74.4,3.49,3.75,,344.0,,9.3,51.4,,0.5,3.5,,46.7,33.6,2.06,,,13.6,6.7,63.3,22.5,31.3,20800.0,66.7,57.6,30.3,6.8,25.9,31.3,21.5,74.4,,4.8
Basilicata,2021,Sud,17,41.9,74.1,36.0,27.6,93.1,92.5,60.7,74.6,57.2,15.3,53.6,35.2,46.4,45.4,48.9,67.9,25.2,59.3,3.24,90.9,95.4,93.2,91.8,61.4,59.9,63.0,86.1,64.0,50.4,19.4,11.2,58.8,48.5,63.7,6.66,84.6,8.29,68.7,22.1,65.1,32.7,70.9,65.0,12.6,37.8,43.5,75.2,2.73,3.75,,,6.8,8.2,61.4,,,3.1,,33.2,,,41.2,51.5,8.7,,63.3,4.3,31.3,23500.0,65.1,55.7,35.6,10.3,24.6,31.3,,75.2,,4.8
Basilicata,2022,Sud,17,41.7,74.1,36.3,26.9,93.1,92.5,60.7,74.6,57.2,15.3,55.5,35.2,46.4,45.4,48.9,67.9,25.2,59.3,2.85,90.9,95.4,93.2,91.8,61.4,59.9,63.0,86.1,64.0,50.4,19.4,11.2,60.0,51.1,63.7,6.66,84.6,8.29,68.7,22.1,65.1,32.7,70.9,65.0,12.6,37.8,43.5,75.2,1.96,3.75,,,,,,,,,,,,,40.0,48.9,,,,,,,,,,,,,,,14.3,
