territorio,anno,Generale,Contesto,Bambini,Donne,area,codice_istat
Abruzzo,2018,50.9,68.6,52.0,37.0,Sud,13
Abruzzo,2019,54.0,69.4,51.4,44.1,Sud,13
Abruzzo,2020,55.0,76.0,48.5,45.2,Sud,13
Abruzzo,2021,53.5,72.2,46.5,45.5,Sud,13
Abruzzo,2022,54.5,72.2,46.6,48.3,Sud,13
Basilicata,2018,46.6,68.9,42.6,34.3,Sud,17
Basilicata,2019,43.3,74.8,39.5,27.5,Sud,17
Basilicata,2020,41.3,71.1,35.9,27.6,Sud,17
Basilicata,2021,43.0,75.4,36.0,29.3,Sud,17
Basilicata,2022,41.9,75.4,36.3,26.9,Sud,17
Calabria,2018,40.5,54.3,33.6,36.4,Sud,18
Calabria,2019,42.4,60.5,35.7,35.4,Sud,18
Calabria,2020,44.9,67.0,35.2,38.3,Sud,18
Calabria,2021,46.7,68.9,35.6,41.5,Sud,18
Calabria,2022,46.3,68.9,35.7,40.5,Sud,18
Campania,2018,44.6,60.2,37.9,38.8,Sud,15
Campania,2019,46.4,64.2,39.4,39.5,Sud,15
Campania,2020,43.8,63.8,34.7,37.8,Sud,15
Campania,2021,44.1,63.0,34.8,39.1,Sud,15
Campania,2022,43.5,63.0,35.1,37.3,Sud,15
Emilia-Romagna,2018,61.2,60.9,63.2,59.5,Nord-est,8
Emilia-Romagna,2019,61.6,60.8,63.5,60.5,Nord-est,8
Emilia-Romagna,2020,63.3,68.8,61.7,59.8,Nord-est,8
Emilia-Romagna,2021,61.2,65.9,57.6,60.3,Nord-est,8
Emilia-Romagna,2022,62.2,65.9,57.6,63.5,Nord-est,8
Friuli-Venezia Giulia,2018,61.9,69.8,61.2,55.5,Nord-est,6
Friuli-Venezia Giulia,2019,63.7,76.3,61.6,54.9,Nord-est,6
Friuli-Venezia Giulia,2020,63.6,77.5,60.2,55.1,Nord-est,6
Friuli-Venezia Giulia,2021,62.2,78.8,55.9,54.7,Nord-est,6
Friuli-Venezia Giulia,2022,64.0,78.8,56.0,59.3,Nord-est,6
Lazio,2018,62.3,70.4,60.8,56.5,Centro,12
Lazio,2019,62.8,71.6,60.0,57.7,Centro,12
Lazio,2020,63.5,73.7,59.9,58.1,Centro,12
Lazio,2021,62.2,70.7,57.7,58.9,Centro,12
Lazio,2022,60.9,70.7,57.7,55.4,Centro,12
Liguria,2018,57.8,67.5,59.3,48.3,Nord-ovest,7
Liguria,2019,60.0,70.1,61.4,50.2,Nord-ovest,7
Liguria,2020,58.9,69.5,58.5,50.2,Nord-ovest,7
Liguria,2021,56.6,68.4,52.3,50.8,Nord-ovest,7
Liguria,2022,56.8,68.4,52.2,51.4,Nord-ovest,7
Lombardia,2018,58.9,67.1,60.4,50.4,Nord-ovest,3
Lombardia,2019,60.2,69.5,60.8,51.6,Nord-ovest,3
Lombardia,2020,59.5,73.2,56.6,50.9,Nord-ovest,3
Lombardia,2021,58.3,71.1,53.1,52.5,Nord-ovest,3
Lombardia,2022,58.3,71.1,53.4,52.2,Nord-ovest,3
Marche,2018,58.7,70.6,55.2,52.1,Centro,11
Marche,2019,60.3,73.0,55.5,54.0,Centro,11
Marche,2020,59.7,71.4,52.5,56.6,Centro,11
Marche,2021,59.7,76.3,49.8,56.0,Centro,11
Marche,2022,58.6,76.3,49.8,53.0,Centro,11
Molise,2018,53.5,74.4,39.5,51.9,Sud,14
Molise,2019,52.7,72.8,39.4,50.9,Sud,14
Molise,2020,52.5,74.6,37.4,51.8,Sud,14
Molise,2021,52.3,75.3,35.8,53.0,Sud,14
Molise,2022,50.9,75.3,35.8,49.0,Sud,14
Piemonte,2018,57.1,65.6,51.8,54.8,Nord-ovest,1
Piemonte,2019,57.4,69.4,52.9,51.5,Nord-ovest,1
Piemonte,2020,55.7,67.7,49.7,51.3,Nord-ovest,1
Piemonte,2021,55.4,69.6,46.5,52.5,Nord-ovest,1
Piemonte,2022,54.5,69.6,46.7,49.8,Nord-ovest,1
Provincia Autonoma di Bolzano/Bozen,2018,67.0,70.0,71.2,60.3,Nord-est,21
